id,Name,AType,FacilityID,LineID,LineFloor,ManufacturerID,unitProcedureID
A1,A1:Mixers,Mixers,F-1-S1,L1,1,MFR10,PR-1-MII
A2,A2:Granulators,Granulators,F-1-S1,L1,1,MFR6,PR-2-GRG
A3,A3:Mills,Mills,F-1-S1,L1,1,MFR8,PR-3-MIM
A4,A4:Blenders,Blenders,F-1-S1,L1,1,MFR2,PR-4-BLB
A5,A5:Reactors,Reactors,F-1-S1,L1,1,MFR11,PR-6-RER
A6,A6:Distillation equipment,Distillation equipment,F-1-S1,L1,1,MFR10,PR-7-DIE
A7,A7:Extraction equipment,Extraction equipment,F-1-S1,L1,1,MFR7,PR-8-EXE
A8,A8:Packaging Machinery,Packaging Machinery,F-1-S1,L2,1,MFR3,PA-1-PAM
A9,A9:Label Printers,Label Printers,F-1-S1,L2,1,MFR6,PA-2-LAM
A10,A10:Vision Inspection Systems,Vision Inspection Systems,F-1-S1,L2,1,MFR3,PA-3-INM
A11,A11:Automated Conveyors,Automated Conveyors,F-1-S1,L2,1,MFR8,PA-4-COC
A12,A12:Incubators,Incubators,F-1-S1,L3,1,MFR8,LI-1-MIT
A13,A13:HPLC,HPLC,F-1-S1,L3,1,MFR5,LI-2-CHA
A14,A14:Particle Size Analyzers,Particle Size Analyzers,F-1-S1,L3,1,MFR10,LI-3-PHT
A15,A15:Air Particle Counters,Air Particle Counters,F-1-S1,L3,1,MFR9,LI-4-ENM
A16,A16:Temperature and Humidity Controllers,Temperature and Humidity Controllers,F-1-S1,L3,1,MFR5,LI-5-STT
A17,A17:HTS,HTS,F-2-S1,L4,1,MFR6,NA
A18,A18:Combinatorial chemistry labs,Combinatorial chemistry labs,F-2-S1,L4,1,MFR12,NA
A19,A19:Bioinformatics,Bioinformatics,F-2-S1,L4,1,MFR4,NA
A20,A20:Clinical trial,Clinical trial,F-2-S1,L4,1,MFR2,NA
A21,A21:Mixers,Mixers,F-1-S2,L5,1,MFR5,PR-1-MII
A22,A22:Granulators,Granulators,F-1-S2,L5,1,MFR2,PR-2-GRG
A23,A23:Mills,Mills,F-1-S2,L5,1,MFR10,PR-3-MIM
A24,A24:Blenders,Blenders,F-1-S2,L5,1,MFR3,PR-4-BLB
A25,A25:Reactors,Reactors,F-1-S2,L5,1,MFR3,PR-6-RER
A26,A26:Distillation equipment,Distillation equipment,F-1-S2,L5,1,MFR1,PR-7-DIE
A27,A27:Extraction equipment,Extraction equipment,F-1-S2,L5,1,MFR8,PR-8-EXE
